taxa	taxid	superkingdom	clade	kingdom	family	genus
Allomyces macrogynus	28583	Eukaryota	Opisthokonta	Fungi	Blastocladiaceae	Allomyces
Sarcocystis neurona	42890	Eukaryota	Sar	NA	Sarcocystidae	Sarcocystis
Toxoplasma gondii	5811	Eukaryota	Sar	NA	Sarcocystidae	Toxoplasma
Neospora caninum	29176	Eukaryota	Sar	NA	Sarcocystidae	Neospora
Eimeria tenella	5802	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria acervulina	5801	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria maxima	5804	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria mitis	44415	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria necatrix	51315	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria brunetti	51314	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria praecox	51316	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria falciformis	84963	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Cyclospora cayetanensis	88456	Eukaryota	Sar	NA	Eimeriidae	Cyclospora
Cryptosporidium hominis	237895	Eukaryota	Sar	NA	Cryptosporidiidae	Cryptosporidium
Plasmodium coatneyi	208452	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium yoelii	5861	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium cynomolgi	5827	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium vivax	5855	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium gallinaceum	5849	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Theileria annulata	5874	Eukaryota	Sar	NA	Theileriidae	Theileria
Babesia microti	5868	Eukaryota	Sar	NA	Babesiidae	Babesia
Chromera velia	505693	Eukaryota	Sar	NA	Chromeraceae	Chromera
Vitrella brassicaformis	1169539	Eukaryota	Sar	NA	Vitrellaceae	Vitrella
Phytophthora parasitica	4792	Eukaryota	Sar	NA	Peronosporaceae	Phytophthora
Hyaloperonospora arabidopsidis	272952	Eukaryota	Sar	NA	Peronosporaceae	Hyaloperonospora
Aphanomyces invadans	157072	Eukaryota	Sar	NA	Saprolegniaceae	Aphanomyces
Aphanomyces astaci	112090	Eukaryota	Sar	NA	Saprolegniaceae	Aphanomyces
Saprolegnia diclina	112098	Eukaryota	Sar	NA	Saprolegniaceae	Saprolegnia
Globisporangium irregulare	36331	Eukaryota	Sar	NA	Pythiaceae	Globisporangium
Globisporangium iwayamae	115417	Eukaryota	Sar	NA	Pythiaceae	Globisporangium
Globisporangium ultimum	2052682	Eukaryota	Sar	NA	Pythiaceae	Globisporangium
Albugo candida	65357	Eukaryota	Sar	NA	Albuginaceae	Albugo
Trichomonas vaginalis	5722	Eukaryota	Metamonada	NA	Trichomonadidae	Trichomonas
Giardia intestinalis	5741	Eukaryota	Metamonada	NA	Hexamitidae	Giardia
Spironucleus salmonicida	348837	Eukaryota	Metamonada	NA	Hexamitidae	Spironucleus
Acanthamoeba mauritaniensis	196912	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba castellanii	5755	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba lenticulata	29196	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba astronyxis	65658	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba palestinensis	28015	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba rhysodes	32599	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba culbertsoni	43142	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba lugdunensis	61605	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba quina	211522	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Entamoeba histolytica	5759	Eukaryota	Amoebozoa	NA	Entamoebidae	Entamoeba
Entamoeba invadens	33085	Eukaryota	Amoebozoa	NA	Entamoebidae	Entamoeba
Entamoeba dispar	46681	Eukaryota	Amoebozoa	NA	Entamoebidae	Entamoeba
Trypanosoma cruzi	5693	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Trypanosoma brucei	5691	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Trypanosoma evansi	5697	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Trypanosoma congolense	5692	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Leishmania infantum	5671	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leishmania aethiopica	5667	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leptomonas seymouri	5684	Eukaryota	Discoba	NA	Trypanosomatidae	Leptomonas
Endotrypanum monterogeii	5705	Eukaryota	Discoba	NA	Trypanosomatidae	Endotrypanum
Naegleria fowleri	5763	Eukaryota	Discoba	NA	Vahlkampfiidae	Naegleria
Bacillus cereus	1396	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus thuringiensis	1428	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus mycoides	1405	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus anthracis	1392	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus sp. ABP14	1892404	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus velezensis	492670	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus amyloliquefaciens	1390	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus subtilis	1423	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus atrophaeus	1452	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus sp. PGP15	2933563	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus sp. NSP9.1	1071078	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus sp. COPE52	2233998	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus gobiensis	1441095	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus dafuensis	1742359	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus infantis	324767	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus altitudinis	293387	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Amphibacillus xylanus	1449	Bacteria	Terrabacteria group	NA	Bacillaceae	Amphibacillus
Cytobacillus oceanisediminis	665099	Bacteria	Terrabacteria group	NA	Bacillaceae	Cytobacillus
Cytobacillus gottheilii	859144	Bacteria	Terrabacteria group	NA	Bacillaceae	Cytobacillus
Virgibacillus sp. MSP4-1	2700081	Bacteria	Terrabacteria group	NA	Bacillaceae	Virgibacillus
Virgibacillus sp. SK37	403957	Bacteria	Terrabacteria group	NA	Bacillaceae	Virgibacillus
Virgibacillus sp. NKC19-16	2831673	Bacteria	Terrabacteria group	NA	Bacillaceae	Virgibacillus
Priestia megaterium	1404	Bacteria	Terrabacteria group	NA	Bacillaceae	Priestia
Priestia koreensis	284581	Bacteria	Terrabacteria group	NA	Bacillaceae	Priestia
Metabacillus sediminilitoris	2567941	Bacteria	Terrabacteria group	NA	Bacillaceae	Metabacillus
Peribacillus psychrosaccharolyticus	1407	Bacteria	Terrabacteria group	NA	Bacillaceae	Peribacillus
Peribacillus simplex	1478	Bacteria	Terrabacteria group	NA	Bacillaceae	Peribacillus
Weizmannia coagulans	1398	Bacteria	Terrabacteria group	NA	Bacillaceae	Weizmannia
Lysinibacillus sphaericus	1421	Bacteria	Terrabacteria group	NA	Bacillaceae	Lysinibacillus
Lysinibacillus parviboronicapiens	436516	Bacteria	Terrabacteria group	NA	Bacillaceae	Lysinibacillus
Oceanobacillus zhaokaii	2052660	Bacteria	Terrabacteria group	NA	Bacillaceae	Oceanobacillus
Anoxybacillus flavithermus	33934	Bacteria	Terrabacteria group	NA	Bacillaceae	Anoxybacillus
Anoxybacillus kamchatkensis	196180	Bacteria	Terrabacteria group	NA	Bacillaceae	Anoxybacillus
Paraliobacillus zengyii	2213194	Bacteria	Terrabacteria group	NA	Bacillaceae	Paraliobacillus
Rossellomorea marisflavi	189381	Bacteria	Terrabacteria group	NA	Bacillaceae	Rossellomorea
Alkalihalobacillus sp. LMS39	2924032	Bacteria	Terrabacteria group	NA	Bacillaceae	Alkalihalobacillus
Anaerobacillus isosaccharinicus	1532552	Bacteria	Terrabacteria group	NA	Bacillaceae	Anaerobacillus
Gottfriedia acidiceleris	371036	Bacteria	Terrabacteria group	NA	Bacillaceae	Gottfriedia
Evansella cellulosilytica	1413	Bacteria	Terrabacteria group	NA	Bacillaceae	Evansella
Lentibacillus sp. CBA3610	2518176	Bacteria	Terrabacteria group	NA	Bacillaceae	Lentibacillus
Staphylococcus aureus	1280	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus epidermidis	1282	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus hominis	1290	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus haemolyticus	1283	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus pseudintermedius	283734	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus delphini	53344	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus lugdunensis	28035	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus saccharolyticus	33028	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus capitis	29388	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus cohnii	29382	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus simiae	308354	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus pettenkoferi	170573	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus pseudoxylosus	2282419	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus roterodami	2699836	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus auricularis	29379	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus pasteuri	45972	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus saprophyticus	29385	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus condimenti	70255	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus argenteus	985002	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus nepalensis	214473	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus warneri	1292	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Macrococcus caseolyticus	69966	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Macrococcus
Mammaliicoccus sciuri	1296	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Mammaliicoccus
Mammaliicoccus vitulinus	71237	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Mammaliicoccus
Gemella haemolysans	1379	Bacteria	Terrabacteria group	NA	NA	Gemella
Gemella sanguinis	84135	Bacteria	Terrabacteria group	NA	NA	Gemella
Gemella morbillorum	29391	Bacteria	Terrabacteria group	NA	NA	Gemella
Gemella sp. zg-570	2840371	Bacteria	Terrabacteria group	NA	NA	Gemella
Paenibacillus polymyxa	1406	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus sp. H1-7	2282849	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus sp. YPD9-1	2908839	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus sp. FSL R7-0331	1536773	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus sp. JNUCC-31	2777983	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus tianjinensis	2810347	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus albicereus	2726185	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus swuensis	1178515	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus riograndensis	483937	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Paenibacillus psychroresistens	1778678	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Paenibacillus
Brevibacillus laterosporus	1465	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Brevibacillus
Brevibacillus brevis	1393	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Brevibacillus
Cohnella abietis	2507935	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Cohnella
Cohnella cholangitidis	2598458	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Cohnella
Listeria monocytogenes	1639	Bacteria	Terrabacteria group	NA	Listeriaceae	Listeria
Brochothrix thermosphacta	2756	Bacteria	Terrabacteria group	NA	Listeriaceae	Brochothrix
Solibacillus silvestris	76853	Bacteria	Terrabacteria group	NA	Planococcaceae	Solibacillus
Solibacillus sp. R5-41	2048654	Bacteria	Terrabacteria group	NA	Planococcaceae	Solibacillus
Planococcus versutus	1302659	Bacteria	Terrabacteria group	NA	Planococcaceae	Planococcus
Tumebacillus algifaecis	1214604	Bacteria	Terrabacteria group	NA	Alicyclobacillaceae	Tumebacillus
Tumebacillus avium	1903704	Bacteria	Terrabacteria group	NA	Alicyclobacillaceae	Tumebacillus
Sporolactobacillus terrae	269673	Bacteria	Terrabacteria group	NA	Sporolactobacillaceae	Sporolactobacillus
Kroppenstedtia eburnea	714067	Bacteria	Terrabacteria group	NA	Thermoactinomycetaceae	Kroppenstedtia
Streptococcus pyogenes	1314	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. LPB0220	2610896	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. oral taxon 431	712633	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. Marseille-Q3533	2759692	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. 116-D4	2598453	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. HSISM1	1316408	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. oral taxon 061	712623	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. A12	1759399	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. HSISS2	1316411	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. FDAARGOS_192	1839799	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. DAT741	1940319	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. zg-86	2664091	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. 1643	2576376	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus anginosus	1328	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus intermedius	1338	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus constellatus	76860	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus mitis	28037	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus oralis	1303	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus thermophilus	1308	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus milleri	33040	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus parasanguinis	1318	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pneumoniae	1313	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus agalactiae	1311	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus gordonii	1302	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus suis	1307	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus gwangjuense	1433513	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus salivarius	1304	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sobrinus	1310	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus lactarius	684066	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus dysgalactiae	1334	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus vestibularis	1343	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus periodonticum	2490633	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus rubneri	1234680	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus cristatus	45634	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sanguinis	1305	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus chenjunshii	2173853	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus infantis	68892	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pantholopis	1811193	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus iniae	1346	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus equinus	1335	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus troglodytae	1111760	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus australis	113107	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pseudopneumoniae	257758	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus lutetiensis	150055	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus porcinus	1340	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus merionis	400065	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus parasuis	1501662	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus ratti	1341	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pluranimalium	82348	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus ferus	1345	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus koreensis	2382163	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Floricoccus penangensis	1859475	Bacteria	Terrabacteria group	NA	Streptococcaceae	Floricoccus
Lactococcus lactis	1358	Bacteria	Terrabacteria group	NA	Streptococcaceae	Lactococcus
Lacticaseibacillus rhamnosus	47715	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lacticaseibacillus
Lacticaseibacillus paracasei	1597	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lacticaseibacillus
Lacticaseibacillus zeae	57037	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lacticaseibacillus
Lacticaseibacillus manihotivorans	88233	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lacticaseibacillus
Lacticaseibacillus casei	1582	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lacticaseibacillus
Ligilactobacillus salivarius	1624	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Ligilactobacillus
Ligilactobacillus ruminis	1623	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Ligilactobacillus
Lactobacillus crispatus	47770	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus acidophilus	1579	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus paragasseri	2107999	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus iners	147802	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus gasseri	1596	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus amylovorus	1604	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus johnsonii	33959	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus helveticus	1587	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus panisapium	2012495	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus jensenii	109790	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus ultunensis	227945	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus kullabergensis	1218493	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Limosilactobacillus fermentum	1613	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus panis	47493	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus vaginalis	1633	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus pontis	35787	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus mucosae	97478	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus frumenti	104955	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus reuteri	1598	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Pediococcus acidilactici	1254	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Pediococcus
Pediococcus claussenii	187452	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Pediococcus
Lactiplantibacillus plantarum	1590	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactiplantibacillus
Weissella cibaria	137591	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Weissella
Weissella ceti	759620	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Weissella
Latilactobacillus sakei	1599	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Latilactobacillus
Periweissella cryptocerci	2506420	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Periweissella
Loigolactobacillus coryniformis	1610	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Loigolactobacillus
Amylolactobacillus amylophilus	1603	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Amylolactobacillus
Companilactobacillus ginsenosidimutans	1007676	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Companilactobacillus
Furfurilactobacillus rossiae	231049	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Furfurilactobacillus
Lapidilactobacillus dextrinicus	51664	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lapidilactobacillus
Apilactobacillus sp. SG5_A10	2923364	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Apilactobacillus
Levilactobacillus brevis	1580	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Levilactobacillus
Liquorilactobacillus nagelii	82688	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Liquorilactobacillus
Lentilactobacillus curieae	1138822	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lentilactobacillus
Enterococcus faecalis	1351	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus gilvus	160453	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus faecium	1352	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus sp. FDAARGOS_375	2060307	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
