taxa	taxid	superkingdom	clade	kingdom	family	genus
Aspergillus oryzae	5062	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus nidulans	162425	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Talaromyces stipitatus	28564	Eukaryota	Opisthokonta	Fungi	Trichocomaceae	Talaromyces
Candida albicans	5476	Eukaryota	Opisthokonta	Fungi	Debaryomycetaceae	Candida
[Candida] glabrata	5478	Eukaryota	Opisthokonta	Fungi	Saccharomycetaceae	Nakaseomyces
Saccharomyces cerevisiae	4932	Eukaryota	Opisthokonta	Fungi	Saccharomycetaceae	Saccharomyces
Yarrowia lipolytica	4952	Eukaryota	Opisthokonta	Fungi	Dipodascaceae	Yarrowia
Schizosaccharomyces pombe	4896	Eukaryota	Opisthokonta	Fungi	Schizosaccharomycetaceae	Schizosaccharomyces
Schizosaccharomyces japonicus	4897	Eukaryota	Opisthokonta	Fungi	Schizosaccharomycetaceae	Schizosaccharomyces
Malassezia globosa	76773	Eukaryota	Opisthokonta	Fungi	Malasseziaceae	Malassezia
Ustilago maydis	5270	Eukaryota	Opisthokonta	Fungi	Ustilaginaceae	Ustilago
Sporisorium reilianum	72558	Eukaryota	Opisthokonta	Fungi	Ustilaginaceae	Sporisorium
Coprinopsis cinerea	5346	Eukaryota	Opisthokonta	Fungi	Psathyrellaceae	Coprinopsis
Phanerodontia chrysosporium	2822231	Eukaryota	Opisthokonta	Fungi	Phanerochaetaceae	Phanerodontia
Tremella mesenterica	5217	Eukaryota	Opisthokonta	Fungi	Tremellaceae	Tremella
Melampsora larici-populina	203908	Eukaryota	Opisthokonta	Fungi	Melampsoraceae	Melampsora
Puccinia graminis	5297	Eukaryota	Opisthokonta	Fungi	Pucciniaceae	Puccinia
Nematocida parisii	586133	Eukaryota	Opisthokonta	Fungi	NA	Nematocida
Nematocida sp. 1	1155007	Eukaryota	Opisthokonta	Fungi	NA	Nematocida
Edhazardia aedis	70536	Eukaryota	Opisthokonta	Fungi	Culicosporidae	Edhazardia
Mitosporidium daphniae	1485682	Eukaryota	Opisthokonta	Fungi	NA	Mitosporidium
Nosema ceranae	40302	Eukaryota	Opisthokonta	Fungi	Nosematidae	Nosema
Spraguea lophii	51541	Eukaryota	Opisthokonta	Fungi	Spraguidae	Spraguea
Enterocytozoon bieneusi	31281	Eukaryota	Opisthokonta	Fungi	Enterocytozoonidae	Enterocytozoon
Hamiltosporidium tvaerminnensis	1176355	Eukaryota	Opisthokonta	Fungi	Dubosqiidae	Hamiltosporidium
Anncaliia algerae	723287	Eukaryota	Opisthokonta	Fungi	Tubulinosematidae	Anncaliia
Phycomyces blakesleeanus	4837	Eukaryota	Opisthokonta	Fungi	Phycomycetaceae	Phycomyces
Rhizopus delemar	936053	Eukaryota	Opisthokonta	Fungi	Rhizopodaceae	Rhizopus
Mucor lusitanicus	29924	Eukaryota	Opisthokonta	Fungi	Mucoraceae	Mucor
Batrachochytrium dendrobatidis	109871	Eukaryota	Opisthokonta	Fungi	NA	Batrachochytrium
Spizellomyces punctatus	109760	Eukaryota	Opisthokonta	Fungi	Spizellomycetaceae	Spizellomyces
Allomyces macrogynus	28583	Eukaryota	Opisthokonta	Fungi	Blastocladiaceae	Allomyces
Eimeria tenella	5802	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria mitis	44415	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria falciformis	84963	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria necatrix	51315	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria praecox	51316	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria brunetti	51314	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria maxima	5804	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria acervulina	5801	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Cyclospora cayetanensis	88456	Eukaryota	Sar	NA	Eimeriidae	Cyclospora
Sarcocystis neurona	42890	Eukaryota	Sar	NA	Sarcocystidae	Sarcocystis
Toxoplasma gondii	5811	Eukaryota	Sar	NA	Sarcocystidae	Toxoplasma
Neospora caninum	29176	Eukaryota	Sar	NA	Sarcocystidae	Neospora
Cryptosporidium parvum	5807	Eukaryota	Sar	NA	Cryptosporidiidae	Cryptosporidium
Cryptosporidium baileyi	27987	Eukaryota	Sar	NA	Cryptosporidiidae	Cryptosporidium
Cryptosporidium meleagridis	93969	Eukaryota	Sar	NA	Cryptosporidiidae	Cryptosporidium
Gregarina niphandrodes	110365	Eukaryota	Sar	NA	Gregarinidae	Gregarina
Plasmodium coatneyi	208452	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium cynomolgi	5827	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium reichenowi	5854	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium falciparum	5833	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Plasmodium yoelii	5861	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Theileria parva	5875	Eukaryota	Sar	NA	Theileriidae	Theileria
Theileria annulata	5874	Eukaryota	Sar	NA	Theileriidae	Theileria
Theileria orientalis	68886	Eukaryota	Sar	NA	Theileriidae	Theileria
Babesia microti	5868	Eukaryota	Sar	NA	Babesiidae	Babesia
Vitrella brassicaformis	1169539	Eukaryota	Sar	NA	Vitrellaceae	Vitrella
Chromera velia	505693	Eukaryota	Sar	NA	Chromeraceae	Chromera
Hyaloperonospora arabidopsidis	272952	Eukaryota	Sar	NA	Peronosporaceae	Hyaloperonospora
Phytophthora parasitica	4792	Eukaryota	Sar	NA	Peronosporaceae	Phytophthora
Phytophthora sojae	67593	Eukaryota	Sar	NA	Peronosporaceae	Phytophthora
Aphanomyces astaci	112090	Eukaryota	Sar	NA	Saprolegniaceae	Aphanomyces
Saprolegnia parasitica	101203	Eukaryota	Sar	NA	Saprolegniaceae	Saprolegnia
Saprolegnia diclina	112098	Eukaryota	Sar	NA	Saprolegniaceae	Saprolegnia
Albugo laibachii	653948	Eukaryota	Sar	NA	Albuginaceae	Albugo
Acanthamoeba triangularis	146752	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba rhysodes	32599	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba astronyxis	65658	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba lugdunensis	61605	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba lenticulata	29196	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba mauritaniensis	196912	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Acanthamoeba quina	211522	Eukaryota	Amoebozoa	NA	Acanthamoebidae	Acanthamoeba
Entamoeba histolytica	5759	Eukaryota	Amoebozoa	NA	Entamoebidae	Entamoeba
Entamoeba invadens	33085	Eukaryota	Amoebozoa	NA	Entamoebidae	Entamoeba
Entamoeba dispar	46681	Eukaryota	Amoebozoa	NA	Entamoebidae	Entamoeba
Entamoeba moshkovskii	41668	Eukaryota	Amoebozoa	NA	Entamoebidae	Entamoeba
Trypanosoma cruzi	5693	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Trypanosoma congolense	5692	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Trypanosoma brucei	5691	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Trypanosoma vivax	5699	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Leishmania major	5664	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leishmania amazonensis	5659	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leishmania tropica	5666	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leishmania sp. MAR LEM2494	1303197	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leishmania gerbilli	40285	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leishmania turanica	62297	Eukaryota	Discoba	NA	Trypanosomatidae	Leishmania
Leptomonas seymouri	5684	Eukaryota	Discoba	NA	Trypanosomatidae	Leptomonas
Endotrypanum monterogeii	5705	Eukaryota	Discoba	NA	Trypanosomatidae	Endotrypanum
Naegleria fowleri	5763	Eukaryota	Discoba	NA	Vahlkampfiidae	Naegleria
Giardia intestinalis	5741	Eukaryota	Metamonada	NA	Hexamitidae	Giardia
Spironucleus salmonicida	348837	Eukaryota	Metamonada	NA	Hexamitidae	Spironucleus
Trichomonas vaginalis	5722	Eukaryota	Metamonada	NA	Trichomonadidae	Trichomonas
Streptococcus mitis	28037	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus oralis	1303	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus anginosus	1328	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus intermedius	1338	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus constellatus	76860	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pyogenes	1314	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. oral taxon 431	712633	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. 116-D4	2598453	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. A12	1759399	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. HSISS2	1316411	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. Marseille-Q3533	2759692	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. oral taxon 061	712623	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. NPS 308	1902136	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. LPB0220	2610896	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. HSISM1	1316408	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. 1643	2576376	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. oral taxon 064	712624	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. CNU G3	2698804	NA	NA	NA	NA	NA
Streptococcus sp. FDAARGOS_521	2420309	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. zg-86	2664091	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. FDAARGOS_192	1839799	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. DAT741	1940319	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pneumoniae	1313	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus thermophilus	1308	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus parasuis	1501662	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus milleri	33040	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus gwangjuense	1433513	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus gordonii	1302	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus agalactiae	1311	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus infantis	68892	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus dysgalactiae	1334	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus equi	1336	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pseudopneumoniae	257758	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus suis	1307	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus ferus	1345	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus australis	113107	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sanguinis	1305	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus periodonticum	2490633	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sobrinus	1310	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus cristatus	45634	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus mutans	1309	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pantholopis	1811193	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus acidominimus	1326	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus merionis	400065	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus parasanguinis	1318	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pluranimalium	82348	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus koreensis	2382163	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus ratti	1341	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus equinus	1335	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus chenjunshii	2173853	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus lactarius	684066	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus salivarius	1304	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pseudoporcinus	361101	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus respiraculi	2021971	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus troglodytae	1111760	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus oriscaviae	2781599	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus parauberis	1348	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus canis	1329	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pasteurianus	197614	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus porcinus	1340	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus ilei	1156431	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus iniae	1346	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus himalayensis	1888195	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus gallolyticus	315405	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus halotolerans	1814128	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus uberis	1349	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus rubneri	1234680	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus marmotae	1825069	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus ruminantium	1917441	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus infantarius	102684	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus urinalis	149016	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus lutetiensis	150055	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus halichoeri	254785	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Lactococcus lactis	1358	Bacteria	Terrabacteria group	NA	Streptococcaceae	Lactococcus
Lactococcus piscium	1364	Bacteria	Terrabacteria group	NA	Streptococcaceae	Lactococcus
Lactococcus sp. LG606	2816912	Bacteria	Terrabacteria group	NA	Streptococcaceae	Lactococcus
Lactococcus paracarnosus	2749962	Bacteria	Terrabacteria group	NA	Streptococcaceae	Lactococcus
Lactobacillus johnsonii	33959	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus crispatus	47770	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus ultunensis	227945	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus helveticus	1587	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus gasseri	1596	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus delbrueckii	1584	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus acidophilus	1579	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus acetotolerans	1600	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus iners	147802	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus paragasseri	2107999	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus terrae	2269374	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus kefiranofaciens	267818	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus jensenii	109790	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus gallinarum	52242	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus panisapium	2012495	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Lactobacillus sp. 3B(2020)	2695882	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactobacillus
Ligilactobacillus salivarius	1624	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Ligilactobacillus
Ligilactobacillus agilis	1601	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Ligilactobacillus
Ligilactobacillus ruminis	1623	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Ligilactobacillus
Ligilactobacillus acidipiscis	89059	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Ligilactobacillus
Lacticaseibacillus rhamnosus	47715	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lacticaseibacillus
Lacticaseibacillus paracasei	1597	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lacticaseibacillus
Limosilactobacillus fermentum	1613	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus reuteri	1598	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus mucosae	97478	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus vaginalis	1633	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Limosilactobacillus gastricus	227942	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Limosilactobacillus
Acetilactobacillus jinshanensis	1720083	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Acetilactobacillus
Pediococcus acidilactici	1254	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Pediococcus
Pediococcus damnosus	51663	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Pediococcus
Pediococcus pentosaceus	1255	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Pediococcus
Lactiplantibacillus plantarum	1590	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactiplantibacillus
Lactiplantibacillus paraplantarum	60520	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactiplantibacillus
Lactiplantibacillus pentosus	1589	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lactiplantibacillus
Loigolactobacillus coryniformis	1610	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Loigolactobacillus
Loigolactobacillus backii	375175	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Loigolactobacillus
Companilactobacillus farciminis	1612	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Companilactobacillus
Companilactobacillus paralimentarius	83526	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Companilactobacillus
Companilactobacillus ginsenosidimutans	1007676	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Companilactobacillus
Companilactobacillus alimentarius	1602	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Companilactobacillus
Fructilactobacillus lindneri	53444	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Fructilactobacillus
Fructilactobacillus sanfranciscensis	1625	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Fructilactobacillus
Apilactobacillus sp. SG5_A10	2923364	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Apilactobacillus
Apilactobacillus kunkeei	148814	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Apilactobacillus
Latilactobacillus sakei	1599	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Latilactobacillus
Weissella hellenica	46256	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Weissella
Weissella koreensis	165096	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Weissella
Weissella ceti	759620	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Weissella
Liquorilactobacillus hordei	468911	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Liquorilactobacillus
Schleiferilactobacillus harbinensis	304207	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Schleiferilactobacillus
Periweissella cryptocerci	2506420	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Periweissella
Amylolactobacillus amylophilus	1603	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Amylolactobacillus
Furfurilactobacillus rossiae	231049	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Furfurilactobacillus
Lentilactobacillus laojiaonis	2883998	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lentilactobacillus
Bombilactobacillus sp. SG4_D2	2923362	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Bombilactobacillus
Lapidilactobacillus dextrinicus	51664	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Lapidilactobacillus
Levilactobacillus koreensis	637971	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Levilactobacillus
Oenococcus sicerae	2203724	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Oenococcus
Secundilactobacillus paracollinoides	240427	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Secundilactobacillus
Enterococcus faecalis	1351	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus cecorum	44008	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus faecium	1352	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus hirae	1354	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus avium	33945	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus casseliflavus	37734	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus durans	53345	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus raffinosus	71452	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus gallinarum	1353	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus rotai	118060	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus thailandicus	417368	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus saigonensis	1805431	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Vagococcus lutrae	81947	Bacteria	Terrabacteria group	NA	Enterococcaceae	Vagococcus
Vagococcus fluvialis	2738	Bacteria	Terrabacteria group	NA	Enterococcaceae	Vagococcus
Vagococcus carniphilus	218144	Bacteria	Terrabacteria group	NA	Enterococcaceae	Vagococcus
Vagococcus penaei	633807	Bacteria	Terrabacteria group	NA	Enterococcaceae	Vagococcus
Vagococcus xieshaowenii	2562451	Bacteria	Terrabacteria group	NA	Enterococcaceae	Vagococcus
Tetragenococcus koreensis	290335	Bacteria	Terrabacteria group	NA	Enterococcaceae	Tetragenococcus
Granulicatella elegans	137732	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Granulicatella
Granulicatella adiacens	46124	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Granulicatella
Marinilactibacillus sp. 15R	1911586	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Marinilactibacillus
Jeotgalibaca sp. MA1X17-3	2908211	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Jeotgalibaca
Carnobacterium viridans	174587	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Carnobacterium
Carnobacterium maltaromaticum	2751	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Carnobacterium
Dolosigranulum pigrum	29394	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Dolosigranulum
Aerococcus viridans	1377	Bacteria	Terrabacteria group	NA	Aerococcaceae	Aerococcus
Aerococcus christensenii	87541	Bacteria	Terrabacteria group	NA	Aerococcaceae	Aerococcus
Aerococcus urinae	1376	Bacteria	Terrabacteria group	NA	Aerococcaceae	Aerococcus
Aerococcus urinaeequi	51665	Bacteria	Terrabacteria group	NA	Aerococcaceae	Aerococcus
Aerococcus urinaehominis	128944	Bacteria	Terrabacteria group	NA	Aerococcaceae	Aerococcus
Abiotrophia defectiva	46125	Bacteria	Terrabacteria group	NA	Aerococcaceae	Abiotrophia
