taxa	taxid	superkingdom	clade	kingdom	family	genus
Gibbsiella quercinecans	929813	Bacteria	NA	NA	Yersiniaceae	Gibbsiella
Nissabacter sp. SGAir0207	2126321	Bacteria	NA	NA	Yersiniaceae	Nissabacter
Providencia heimbachae	333962	Bacteria	NA	NA	Morganellaceae	Providencia
Providencia sp. R33	2828763	Bacteria	NA	NA	Morganellaceae	Providencia
Photorhabdus thracensis	230089	Bacteria	NA	NA	Morganellaceae	Photorhabdus
Dickeya sp. NCPPB 3274	568766	Bacteria	NA	NA	Pectobacteriaceae	Dickeya
Pectobacterium punjabense	2108399	Bacteria	NA	NA	Pectobacteriaceae	Pectobacterium
Pectobacterium colocasium	2878098	Bacteria	NA	NA	Pectobacteriaceae	Pectobacterium
Pectobacterium sp. 21LCBS03	2935858	Bacteria	NA	NA	Pectobacteriaceae	Pectobacterium
Pectobacterium aroidearum	1201031	Bacteria	NA	NA	Pectobacteriaceae	Pectobacterium
Brenneria rubrifaciens	55213	Bacteria	NA	NA	Pectobacteriaceae	Brenneria
Musicola paradisiaca	69223	Bacteria	NA	NA	Pectobacteriaceae	Musicola
Lonsdalea populi	1172565	Bacteria	NA	NA	Pectobacteriaceae	Lonsdalea
Edwardsiella hoshinae	93378	Bacteria	NA	NA	Hafniaceae	Edwardsiella
Edwardsiella piscicida	1263550	Bacteria	NA	NA	Hafniaceae	Edwardsiella
Hafnia paralvei	546367	Bacteria	NA	NA	Hafniaceae	Hafnia
Jinshanibacter zhutongyuii	2498113	Bacteria	NA	NA	Budviciaceae	Jinshanibacter
Limnobaculum parvum	2172103	Bacteria	NA	NA	Budviciaceae	Limnobaculum
Colwellia sp. PAMC 20917	1816218	Bacteria	NA	NA	Colwelliaceae	Colwellia
Cognaticolwellia beringensis	1967665	Bacteria	NA	NA	Colwelliaceae	Cognaticolwellia
Pseudoalteromonas sp. JSTW	2752475	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. A25	116092	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. SCSIO 43088	2822846	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. Bsw20308	283699	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. SCSIO 43101	2822847	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. LC2018020214	2799564	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. APM04	2699396	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas tunicata	314281	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas agarivorans	176102	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas aliena	247523	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas phenolica	161398	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas arctica	394751	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas ruthenica	151081	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas prydzensis	182141	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas atlantica	288	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas distincta	77608	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas carrageenovora	227	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas shioyasakiensis	1190813	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas issachenkonii	152297	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Psychrosphaera aestuarii	1266052	Bacteria	NA	NA	Pseudoalteromonadaceae	Psychrosphaera
Shewanella sp. OM3-2	2908650	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. FJAT-53870	2864208	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. LZH-2	2806008	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. FJAT-53749	2864206	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. Arc9-LZ	2698686	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. Scap07	2589987	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. FJAT-53681	2864205	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. ANA-3	94122	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. FJAT-52072	2864213	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. W3-18-1	351745	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. LC6	2589790	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. FJAT-53555	2864204	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sp. MR-4	60480	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella maritima	2520507	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella cyperi	2814292	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella dokdonensis	712036	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sediminis	271097	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella loihica	359303	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella yunxiaonensis	2829809	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella sedimentimangrovi	2814293	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella litorisediminis	1173586	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella donghaensis	238836	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella violacea	60217	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella frigidimarina	56812	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella carassii	1987584	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella indica	768528	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella aestuarii	1028752	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella chilikensis	558541	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella amazonensis	60478	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella denitrificans	192073	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella polaris	2588449	Bacteria	NA	NA	Shewanellaceae	Shewanella
Shewanella japonica	93973	Bacteria	NA	NA	Shewanellaceae	Shewanella
Parashewanella spongiae	342950	Bacteria	NA	NA	Shewanellaceae	Parashewanella
Salinimonas iocasae	2572577	Bacteria	NA	NA	Alteromonadaceae	Salinimonas
Salinimonas lutimaris	914153	Bacteria	NA	NA	Alteromonadaceae	Salinimonas
Salinimonas marina	2785918	Bacteria	NA	NA	Alteromonadaceae	Salinimonas
Alteromonas mediterranea	314275	Bacteria	NA	NA	Alteromonadaceae	Alteromonas
Alteromonas sp. MB-3u-76	2058133	Bacteria	NA	NA	Alteromonadaceae	Alteromonas
Alteromonas pelagimontana	1858656	Bacteria	NA	NA	Alteromonadaceae	Alteromonas
Alteromonas stellipolaris	233316	Bacteria	NA	NA	Alteromonadaceae	Alteromonas
Glaciecola nitratireducens	300231	Bacteria	NA	NA	Alteromonadaceae	Glaciecola
Moritella sp. 36	2746233	Bacteria	NA	NA	Moritellaceae	Moritella
Moritella sp. 28	2746232	Bacteria	NA	NA	Moritellaceae	Moritella
Ferrimonas balearica	44012	Bacteria	NA	NA	Ferrimonadaceae	Ferrimonas
Idiomarina abyssalis	86102	Bacteria	NA	NA	Idiomarinaceae	Idiomarina
Idiomarina loihiensis	135577	Bacteria	NA	NA	Idiomarinaceae	Idiomarina
Psychromonas ingrahamii	357794	Bacteria	NA	NA	Psychromonadaceae	Psychromonas
Pseudomonas sp. PP3	2815936	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. Seg1	2678259	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. DNDY-54	2870860	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. LPH1	1898684	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. 7SR1	1881017	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. HN11	1344094	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. SWI44	2083053	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. HLS-6	2049589	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. Leaf58	1736226	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. SCB32	2653853	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. Marseille-Q3773	2866592	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. 02C 26	2054914	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. 13159349	2662034	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. CMR5c	658630	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. THAF7b	2587845	NA	NA	NA	NA	NA
Pseudomonas sp. SWI7	2587597	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. LG1E9	2219057	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. SCA2728.1_7	2825975	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. DG56-2	2320270	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. S34	1573718	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. DTU12.3	2073078	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. A2	107445	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. MTM4	2705472	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. CFSAN084952	2664899	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. 09C 129	2054915	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. gcc21	2726989	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. Ost2	2678260	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. MPFS	2795724	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. S09G 359	2054919	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. ADPe	2774873	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. PDNC002	2811422	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. SXM-1	2169583	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. 31-12	2201356	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R2A2	2213057	NA	NA	NA	NA	NA
Pseudomonas sp. MPC6	2498848	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. RC3H12	2834406	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B10	118613	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. LAB-08	143813	NA	NA	NA	NA	NA
Pseudomonas sp. NIBR-H-19	2901380	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R5-89-07	658644	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R2-37-08W	1173273	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. HS-18	2879114	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. SC3(2021)	2871493	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. CYM-20-01	2870750	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. DR 5-09	1534110	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. DY-1	1755504	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. HS6	2850559	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. FIT81	2837969	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. TMW 2.1634	1886807	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas trivialis	200450	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas mandelii	75612	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas brenneri	129817	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas veronii	76761	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas corrugata	47879	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas poae	200451	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas promysalinigenes	485898	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas amygdali	47877	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas syringae group genomosp. 7	251699	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas parafulva	157782	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas alcaligenes	43263	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas nitroreducens	46680	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas multiresinivorans	95301	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. SGAir0191	2217867	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas plecoglossicida	70775	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas monteilii	76759	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas zhaodongensis	1176257	Bacteria	NA	NA	Pseudomonadaceae	Stutzerimonas
Pseudomonas silesiensis	1853130	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas luteola	47886	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas vancouverensis	95300	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas palleroniana	191390	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas lurida	244566	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas extremaustralis	359110	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas otitidis	319939	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas cavernae	2320867	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas psychrotolerans	237610	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas yamanorum	515393	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas xantholysinigenes	2745490	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas reinekei	395598	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas hamedanensis	2745504	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas arsenicoxydans	702115	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas iranensis	2745503	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas saudiphocaensis	1499686	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas prosekii	1148509	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas lalkuanensis	2604832	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas alcaliphila	101564	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas fakonensis	2842355	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas zeae	2745510	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas versuta	1788301	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas eucalypticola	2599595	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas phenolilytica	2746321	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas tructae	2518644	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas oryzae	1392877	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas argentinensis	289370	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas simiae	321846	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas alkylphenolica	237609	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas azerbaijanoriens	2842350	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas graminis	158627	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas toyotomiensis	554344	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas nanhaiensis	2830842	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Halopseudomonas xinjiangensis	487184	Bacteria	NA	NA	Pseudomonadaceae	Halopseudomonas
Halopseudomonas sabulinigri	472181	Bacteria	NA	NA	Pseudomonadaceae	Halopseudomonas
Azotobacter vinelandii	354	Bacteria	NA	NA	Pseudomonadaceae	Azotobacter
Azotobacter salinestris	69964	Bacteria	NA	NA	Pseudomonadaceae	Azotobacter
Permianibacter aggregans	1510150	Bacteria	NA	NA	Pseudomonadaceae	Permianibacter
Marinobacter salarius	1420917	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter sp. Arc7-DN-1	2304594	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter sp. LV10R510-11A	1415568	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter sp. JH2	2547598	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter sp. BSs20148	490759	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter sp. LPB0319	2769486	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter sp. LQ44	1749259	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter similis	1420916	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Marinobacter salinus	1874317	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Acinetobacter sp. YH12138	2601122	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. CS-2	2798861	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. AS23	2871688	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. Ac-14	2781976	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. NCu2D-2	1608473	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. FDAARGOS_724	2545797	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. WCHAc010034	1879049	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter lactucae	1785128	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter cumulans	2136182	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter chinensis	2004650	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter ursingii	108980	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter septicus	465797	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter gyllenbergii	134534	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Moraxella sp. ZY201115	2904121	Bacteria	NA	NA	Moraxellaceae	Moraxella
Psychrobacter sp. KCTC 72983	2733866	Bacteria	NA	NA	Moraxellaceae	Psychrobacter
Psychrobacter urativorans	45610	Bacteria	NA	NA	Moraxellaceae	Psychrobacter
Halomonas sp. GFAJ-1	1118153	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas sp. SS10-MC5	2854257	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas sp. SF2003	2136172	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas sp. A3H3	1346287	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas sp. MCCC 1A13316	2733487	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas sp. TD01	999141	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas sp. GT	1971364	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas sulfidoxydans	2733484	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas beimenensis	475662	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas titanicae	664683	Bacteria	NA	NA	Halomonadaceae	Halomonas
